trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Used_image_1,Used_image_2,Used_image_3,Used_image_4,Used_image_5,Used_image_6,Used_image_7,Used_image_8,Unused_image_1,Unused_image_2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_10.thisRepN,trials_10.thisTrialN,trials_10.thisN,trials_10.thisIndex,welcome.started,welcome.stopped,pointer_dot_0.started,pointer_dot_0.stopped,pointer_dot_1.started,pointer_dot_1.stopped,pointer_dot_2.started,pointer_dot_2.stopped,SD_image.started,SD_image.stopped,memDisplayOnTimePractice,mem_image_0_practice,mem_image_1_practice,mem_image_2_practice,mem_image_3_practice,mem_image_4_practice,mem_image_5_practice,mem_image_6_practice,mem_image_7_practice,retention_interval_practice,retro_0_post_1_practice,change_or_no_practice,cue_location_practice,mem_display_to_test_array_duration_s,mem_display_to_cue_duration_s,routine_duration_s,array_image_1f.started,array_image_1f.stopped,array_image_2f.started,array_image_2f.stopped,array_image_3f.started,array_image_3f.stopped,array_image_4f.started,array_image_4f.stopped,array_image_5f.started,array_image_5f.stopped,array_image_6f.started,array_image_6f.stopped,array_image_7f.started,array_image_7f.stopped,array_image_8f.started,array_image_8f.stopped,pointer_dot_0b.started,pointer_dot_0b.stopped,pointer_dot_1b.started,pointer_dot_1b.stopped,pointer_dot_2b.started,pointer_dot_2b.stopped,sd_practice_resp.keys,sd_practice_resp.rt,sd_practice_resp.started,sd_practice_resp.stopped,text_10.started,text_10.stopped,conf_practice_resp.keys,conf_practice_resp.rt,conf_practice_resp.started,conf_practice_resp.stopped,image.started,image.stopped,training_trial_index,memDisplayOnTimeTraining,mem_image_0_training,mem_image_1_training,mem_image_2_training,mem_image_3_training,mem_image_4_training,mem_image_5_training,mem_image_6_training,mem_image_7_training,retro_0_post_1_training,change_or_no_training,cue_location_training,array_image_1l.started,array_image_1l.stopped,test_image_0_training,test_image_1_training,test_image_2_training,test_image_3_training,test_image_4_training,test_image_5_training,test_image_6_training,test_image_7_training,consecutive_correct_retro_short,array_image_1m.started,array_image_1m.stopped,array_image_2m.started,array_image_2m.stopped,array_image_3m.started,array_image_3m.stopped,array_image_4m.started,array_image_4m.stopped,array_image_5m.started,array_image_5m.stopped,array_image_6m.started,array_image_6m.stopped,array_image_7m.started,array_image_7m.stopped,array_image_8m.started,array_image_8m.stopped,pointer_dot_0d.started,pointer_dot_0d.stopped,pointer_dot_1d.started,pointer_dot_1d.stopped,pointer_dot_2d.started,pointer_dot_2d.stopped,reminder_training.started,reminder_training.stopped,sd_training_resp.keys,sd_training_resp.rt,sd_training_resp.started,sd_training_resp.stopped,text_15.started,text_15.stopped,conf_training_resp.keys,conf_training_resp.rt,conf_training_resp.started,conf_training_resp.stopped,text.started,text.stopped,short_interval_training_finished,training_trial_index_long_this_block,correct_retro_long_this_block,retro_trials_long_this_block,long_interval_block_finished,long_block_retro_acc,reached_criterion,run_out_of_trials,participant,mapping,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,275,0,275,0,,,,,,,,,,,,,,,,,,,,,,,,3.5,3.6,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275,2282.001431763998,3,6,4,8,2,7,1,9,1,1,7,2295.5145287099986,None,3,6,4,8,2,7,1,0,,2299.5930570419987,None,2299.5930570419987,None,2299.5930570419987,None,2299.5930570419987,None,2299.5930570419987,None,2299.5930570419987,None,2299.5930570419987,None,2299.5930570419987,None,2299.6863706059994,2300.1927652179984,2299.6863706059994,2300.1927652179984,2299.6863706059994,2300.1927652179984,None,None,down,0.7529063609981677,2299.6863706059994,None,None,None,z,0.2732653519997257,2300.4860646479974,None,2300.779247192997,None,,171,84,91,,,,,110,23,2022_Sep_23_1156,templeton_exp2A_SD,2020.2.10,75.03143235427278,
,,,,,,,,,,,,,,,,,,,,,,276,0,276,0,,,,,,,,,,,,,,,,,,,,,,,,3.3000000000000003,3.4000000000000004,3.9000000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276,2287.8502371079994,2,5,1,9,3,8,4,7,1,1,3,2301.3656881539973,None,2,5,1,0,3,8,4,7,,2305.2309291290003,None,2305.2309291290003,None,2305.2309291290003,None,2305.2309291290003,None,2305.2309291290003,None,2305.2309291290003,None,2305.2309291290003,None,2305.2309291290003,None,2305.3375494389984,2305.843974722,2305.3375494389984,2305.843974722,2305.3375494389984,2305.843974722,None,None,down,1.037800766996952,2305.3375494389984,None,None,None,z,0.5741062659981253,2306.4171543189987,None,2307.0168843469983,None,,172,84,91,,,,,110,23,2022_Sep_23_1156,templeton_exp2A_SD,2020.2.10,75.03143235427278,
,,,,,,,,,,,,,,,,,,,,,,277,0,277,0,,,,,,,,,,,,,,,,,,,,,,,,2.9000000000000004,1.6,2.9000000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277,2294.0899625079983,1,9,4,6,3,8,2,7,0,0,0,2307.603355698,None,1,9,4,6,3,8,2,7,,2311.0820008049996,None,2311.0820008049996,None,2311.0820008049996,None,2311.0820008049996,None,2311.0820008049996,None,2311.0820008049996,None,2311.0820008049996,None,2311.0820008049996,None,2309.7758785179976,2310.2822806899967,2309.7758785179976,2310.2822806899967,2309.7758785179976,2310.2822806899967,None,None,down,4.765251357002853,2311.0820008049996,None,None,None,z,0.1297956249982235,2315.893489914997,None,2316.040119653,None,,173,84,92,,,,,110,23,2022_Sep_23_1156,templeton_exp2A_SD,2020.2.10,75.03143235427278,
,,,,,,,,,,,,,,,,,,,,,,278,0,278,0,,,,,,,,,,,,,,,,,,,,,,,,2.9000000000000004,1.6,2.9000000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278,2303.114527693,1,7,0,6,2,9,4,8,0,1,4,2316.6265381729972,None,1,7,0,6,3,9,4,8,,2320.0919385729976,None,2320.0919385729976,None,2320.0919385729976,None,2320.0919385729976,None,2320.0919385729976,None,2320.0919385729976,None,2320.0919385729976,None,2320.0919385729976,None,2318.785754073,2319.2923064489987,2318.785754073,2319.2923064489987,2318.785754073,2319.2923064489987,None,None,down,4.755279513999994,2320.0919385729976,None,None,None,x,0.4211302469993825,2324.890154294997,None,2325.329949862,None,,174,85,93,,,,,110,23,2022_Sep_23_1156,templeton_exp2A_SD,2020.2.10,75.03143235427278,
,,,,,,,,,,,,,,,,,,,,,,279,0,279,0,,,,,,,,,,,,,,,,,,,,,,,,2.9000000000000004,1.6,2.9000000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279,2312.4016281939985,3,5,4,9,1,7,0,8,0,0,1,2325.9163655159973,None,3,5,4,9,1,7,0,8,,2329.381785775,None,2329.381785775,None,2329.381785775,None,2329.381785775,None,2329.381785775,None,2329.381785775,None,2329.381785775,None,2329.381785775,None,2328.0889284369987,2328.595363131997,2328.0889284369987,2328.595363131997,2328.0889284369987,2328.595363131997,None,None,left,1.5854670310000074,2329.381785775,None,None,None,x,0.25546394200137,2331.0078071919997,None,2331.287607533999,None,,175,86,94,,,,,110,23,2022_Sep_23_1156,templeton_exp2A_SD,2020.2.10,75.03143235427278,
,,,,,,,,,,,,,,,,,,,,,,280,0,280,0,,,,,,,,,,,,,,,,,,,,,,,,2.5,2.6,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280,2318.3597566099997,3,7,2,6,4,9,0,5,1,0,5,2331.8741583429983,None,3,7,2,6,4,9,0,5,,2334.9396660799976,None,2334.9396660799976,None,2334.9396660799976,None,2334.9396660799976,None,2334.9396660799976,None,2334.9396660799976,None,2334.9396660799976,None,2334.9396660799976,None,2335.046254961999,2335.5527648459974,2335.046254961999,2335.5527648459974,2335.046254961999,2335.5527648459974,None,None,left,1.6330150449975918,2335.046254961999,None,None,None,z,0.08961016299872426,2336.725683053999,None,2336.8322209239996,None,,176,86,94,,,,,110,23,2022_Sep_23_1156,templeton_exp2A_SD,2020.2.10,75.03143235427278,
,,,,,,,,,,,,,,,,,,,,,,281,0,281,0,,,,,,,,,,,,,,,,,,,,,,,,2.1,2.2,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281,2323.903035345,1,8,3,5,4,9,2,7,1,0,6,2337.4186679919985,None,1,8,3,5,4,9,2,7,,2340.0843537099972,None,2340.0843537099972,None,2340.0843537099972,None,2340.0843537099972,None,2340.0843537099972,None,2340.0843537099972,None,2340.0843537099972,None,2340.0843537099972,None,2340.1910202009967,2340.6974191949994,2340.1910202009967,2340.6974191949994,2340.1910202009967,2340.6974191949994,None,None,left,2.0962444680008048,2340.1910202009967,None,None,None,x,0.07045079199815518,2342.3368218409996,None,2342.4301299189974,None,,177,86,94,,,,,110,23,2022_Sep_23_1156,templeton_exp2A_SD,2020.2.10,75.03143235427278,
,,,,,,,,,,,,,,,,,,,,,,282,0,282,0,,,,,,,,,,,,,,,,,,,,,,,,2.9000000000000004,1.6,2.9000000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282,2329.501376750999,3,5,4,8,2,6,1,9,0,0,1,2343.016531989,None,3,5,4,8,2,6,1,9,,2346.481909056998,None,2346.481909056998,None,2346.481909056998,None,2346.481909056998,None,2346.481909056998,None,2346.481909056998,None,2346.481909056998,None,2346.481909056998,None,2345.1757036009985,2345.6821842989993,2345.1757036009985,2345.6821842989993,2345.1757036009985,2345.6821842989993,None,None,left,2.085358494998218,2346.481909056998,None,None,None,z,0.3528359179981635,2348.614447371998,None,2348.987612970999,None,,178,87,95,,,,,110,23,2022_Sep_23_1156,templeton_exp2A_SD,2020.2.10,75.03143235427278,
,,,,,,,,,,,,,,,,,,,,,,283,0,283,0,,,,,,,,,,,,,,,,,,,,,,,,1.7,1.8,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283,2336.0595954029995,0,5,2,7,4,6,3,8,1,0,2,2349.574120369998,None,0,5,2,7,4,6,3,8,,2351.853274879999,None,2351.853274879999,None,2351.853274879999,None,2351.853274879999,None,2351.853274879999,None,2351.853274879999,None,2351.853274879999,None,2351.853274879999,None,2351.9465184679975,2352.452998951998,2351.9465184679975,2352.452998951998,2351.9465184679975,2352.452998951998,None,None,left,2.4447460970004613,2351.9465184679975,None,None,None,z,0.25631377500030794,2354.4389568589977,None,2354.7187784239977,None,,179,87,95,,,,,110,23,2022_Sep_23_1156,templeton_exp2A_SD,2020.2.10,75.03143235427278,
,,,,,,,,,,,,,,,,,,,,,,284,0,284,0,,,,,,,,,,,,,,,,,,,,,,,,2.7,2.8000000000000003,3.3000000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284,2341.7928365810003,1,6,0,8,4,9,3,7,1,0,6,2355.305277200998,None,1,6,0,8,4,9,3,7,,2358.584057811,None,2358.584057811,None,2358.584057811,None,2358.584057811,None,2358.584057811,None,2358.584057811,None,2358.584057811,None,2358.584057811,None,2358.6773190679996,2359.183803822998,2358.6773190679996,2359.183803822998,2358.6773190679996,2359.183803822998,None,None,down,2.0179456399964693,2358.6773190679996,None,None,None,x,0.23197729700041236,2360.743291077997,None,2360.9964317699996,None,,180,87,95,,,,,110,23,2022_Sep_23_1156,templeton_exp2A_SD,2020.2.10,75.03143235427278,
,,,,,,,,,,,,,,,,,,,,,,285,0,285,0,,,,,,,,,,,,,,,,,,,,,,,,3.1,3.2,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285,2386.1162310269974,4,9,1,6,0,8,3,5,1,1,6,2399.6351183579973,None,4,9,1,6,0,8,2,5,,2403.3003961219983,None,2403.3003961219983,None,2403.3003961219983,None,2403.3003961219983,None,2403.3003961219983,None,2403.3003961219983,None,2403.3003961219983,None,2403.3003961219983,None,2403.4070703769976,2403.913541353999,2403.4070703769976,2403.913541353999,2403.4070703769976,2403.913541353999,None,None,left,3.4161950090019673,2403.4070703769976,None,None,None,z,0.22287239000070258,2406.8723313539995,None,2407.112282785998,None,,181,87,95,,,,,110,23,2022_Sep_23_1156,templeton_exp2A_SD,2020.2.10,75.03143235427278,
